"rank","stimulus","M","SD","CI","CI_lower","CI_upper"
1,"Goed",1354,207,30,1324,1384
2,"Juist",1377,234,34,1343,1411
3,"Correct",1408,273,39,1369,1447
4,"Fout",1424,316,46,1378,1470
5,"Onjuist",1442,322,46,1396,1488
6,"Exact",1468,277,40,1428,1508
7,"Mis",1470,371,54,1416,1524
8,"In orde",1474,333,49,1425,1523
9,"Incorrect",1491,271,39,1452,1530
10,"Verkeerd",1503,362,52,1451,1555
